(0.01, 200000, 100, 30, 20, 2):(0.70821303, 0.59439635, 0.81788031723143473, 0.87301831614591352, 0.76929336769293366)
(0.01, 100000, 100, 100, 20, 1):(0.6633938, 0.63575739, 0.78132973135224371, 0.87451705022677639, 0.70608978706089787)
(0.01, 100000, 100, 100, 50, 2):(0.67552269, 0.66073173, 0.79482871959681556, 0.86119025007913896, 0.73796283737962842)
(0.01, 200000, 100, 50, 20, 3):(0.71560585, 0.5896163, 0.82526614620298089, 0.86556498436802143, 0.78855282788552827)
(0.01, 100000, 100, 50, 50, 3):(0.73339492, 0.58779877, 0.83785302796121963, 0.86911528931642623, 0.808761698087617)
(0.01, 100000, 100, 50, 20, 2):(0.69966501, 0.61315972, 0.81035740335521522, 0.87659775919204674, 0.75342465753424659)
(0.01, 200000, 100, 100, 20, 2):(0.73524314, 0.58143616, 0.83927068723702669, 0.86888340351386673, 0.81160992811609933)
(0.01, 200000, 100, 30, 20, 3):(0.69354278, 0.60780305, 0.80636449894168294, 0.87294563843236406, 0.74922012749220124)
(0.01, 200000, 100, 50, 50, 2):(0.67540717, 0.61664969, 0.79197512585134744, 0.8718826405867971, 0.72548487725484878)
(0.01, 100000, 100, 30, 50, 1):(0.68430173, 0.60682756, 0.80032147293051792, 0.86743744060817229, 0.74284551742845517)
(0.01, 100000, 100, 100, 50, 3):(0.70509416, 0.62064689, 0.81578757486110098, 0.87156953438174534, 0.76671639766716393)
(0.01, 100000, 100, 50, 20, 3):(0.66778332, 0.64719117, 0.78456928838951323, 0.87619206960013385, 0.71029431710294322)
(0.01, 200000, 100, 30, 50, 2):(0.68187594, 0.61627716, 0.79773795534665104, 0.86993432644561908, 0.73660653736606541)
(0.01, 200000, 100, 30, 50, 3):(0.7143352, 0.59214091, 0.82362171029170528, 0.86853188929001202, 0.78312762783127632)
(0.01, 200000, 100, 50, 50, 3):(0.68869126, 0.61289454, 0.80455435492058891, 0.86455735660847877, 0.75233961752339618)
(0.01, 100000, 100, 100, 20, 2):(0.60124755, 0.68159509, 0.7237958073291727, 0.88253658536585367, 0.61345449613454495)
(0.01, 100000, 100, 50, 50, 1):(0.70232183, 0.60213995, 0.81506996770721207, 0.86543736665650717, 0.77024277770242777)
(0.01, 100000, 100, 30, 20, 1):(0.67321241, 0.62021673, 0.79030464754280638, 0.87136319058515854, 0.72304353723043535)
(0.01, 100000, 100, 30, 50, 2):(0.66477996, 0.62597948, 0.78297935985641642, 0.87264544090681784, 0.71002305710023061)
(0.01, 100000, 100, 100, 20, 3):(0.35693657, 0.67093968, 0.42064730981371629, 0.90384615384615385, 0.27410823274108231)
(0.01, 200000, 100, 50, 20, 1):(0.72669518, 0.57988566, 0.83352096819589083, 0.86606228980845157, 0.80333649803336493)
(0.01, 100000, 100, 30, 20, 3):(0.68349314, 0.60741431, 0.79778597785977867, 0.87502023636069293, 0.73308015733080156)
(0.01, 100000, 100, 30, 20, 2):(0.70082015, 0.59591836, 0.81329296424452135, 0.86797968918295121, 0.76508883765088842)
(0.01, 200000, 100, 100, 20, 1):(0.68453276, 0.64332658, 0.79837578442229595, 0.87605314322747896, 0.73335141733351417)
(0.01, 200000, 100, 50, 50, 1):(0.70925266, 0.59286356, 0.82096877445052996, 0.86314687406521085, 0.78272073782720741)
(0.01, 100000, 100, 30, 50, 3):(0.67575371, 0.6210193, 0.79319236719958741, 0.86822580645161296, 0.73009629730096293)
(0.01, 100000, 100, 100, 50, 1):(0.70636481, 0.62303936, 0.81571697839640422, 0.87618750973368631, 0.7630543876305439)
(0.01, 200000, 100, 30, 20, 1):(0.67032456, 0.62377787, 0.78946591915019182, 0.86543748989163838, 0.72575613725756138)
(0.01, 200000, 100, 50, 20, 2):(0.73651379, 0.57068408, 0.84052296720967623, 0.86738816738816737, 0.81527193815271937)
(0.01, 200000, 100, 30, 50, 1):(0.69007736, 0.6060636, 0.8061556245935988, 0.86255411255411252, 0.75667977756679783)
(0.01, 100000, 100, 50, 50, 2):(0.67263484, 0.62265635, 0.78945022288261513, 0.87284376540167574, 0.72060219720602192)
(0.01, 100000, 100, 50, 20, 1):(0.64029109, 0.65508127, 0.76290543627227048, 0.86964068738066302, 0.67950630679506308)
